Date (2018),City,Country,Venue,Opening acts,Attendance,Revenue
August 14,Tampa,United States,Raymond James Stadium,"Camila Cabello
Charli XCX","55,909 / 55,909","$7,244,264"
August 18,Miami Gardens,United States,Hard Rock Stadium,"Camila Cabello
Charli XCX","47,818 / 47,818","$7,072,164"
August 25,Nashville,United States,Nissan Stadium,"Camila Cabello
Charli XCX","56,112 / 56,112","$9,007,179"
August 28,Detroit,United States,Ford Field,"Camila Cabello
Charli XCX","49,464 / 49,464","$6,597,852"
August 31,Minneapolis,United States,U.S. Bank Stadium,"Camila Cabello
Charli XCX","98,774 / 98,774","$10,242,024"
September 1,Minneapolis,United States,U.S. Bank Stadium,"Camila Cabello
Charli XCX","98,774 / 98,774","$10,242,024"
September 8,Kansas City,United States,Arrowhead Stadium,"Camila Cabello
Charli XCX","58,611 / 58,611","$6,730,138"
September 15,Indianapolis,United States,Lucas Oil Stadium,"Camila Cabello
Charli XCX","55,729 / 55,729","$6,531,245"
September 18,St. Louis,United States,The Dome at America's Center,"Camila Cabello
Charli XCX","47,831 / 47,831","$4,884,054"
September 22,New Orleans,United States,Mercedes-Benz Superdome,"Camila Cabello
Charli XCX","53,172 / 53,172","$6,491,546"
September 29,Houston,United States,NRG Stadium,"Camila Cabello
Charli XCX","53,800 / 53,800","$9,350,275"
October 5,Arlington,United States,AT&T Stadium,"Camila Cabello
Charli XCX","105,002 / 105,002","$15,006,157"
October 6,Arlington,United States,AT&T Stadium,"Camila Cabello
Charli XCX","105,002 / 105,002","$15,006,157"
October 19,Perth,Australia,Optus Stadium,"Charli XCX
Broods","50,891 / 50,891","$4,153,658"
October 26,Melbourne,Australia,Marvel Stadium,"Charli XCX
Broods","63,027 / 63,027","$6,755,570"
November 2,Sydney,Australia,ANZ Stadium,"Charli XCX
Broods","72,805 / 72,805","$7,686,564"
November 6,Brisbane,Australia,The Gabba,"Charli XCX
Broods","43,907 / 43,907","$4,338,127"
November 9,Auckland,New Zealand,Mount Smart Stadium,"Charli XCX
Broods","35,749 / 35,749","$3,617,593"
November 20,Tokyo,Japan,Tokyo Dome,Charli XCX,"100,109 / 100,109","$14,859,847"
November 21,Tokyo,Japan,Tokyo Dome,Charli XCX,"100,109 / 100,109","$14,859,847"
