Date (2015),City,Country,Venue,Opening acts,Attendance,Revenue
October 8,Des Moines,United States,Wells Fargo Arena,Vance Joy,"13,969 / 13,969","$1,566,321"
October 9,Omaha,United States,CenturyLink Center Omaha,Vance Joy,"29,622 / 29,622","$3,121,421"
October 10,Omaha,United States,CenturyLink Center Omaha,Vance Joy,"29,622 / 29,622","$3,121,421"
October 12,Fargo,United States,Fargodome,Vance Joy,"21,067 / 21,067","$2,219,188"
October 17,Arlington,United States,AT&T Stadium,"Vance Joy
Shawn Mendes","62,630 / 62,630","$7,396,733"
October 20,Lexington,United States,Rupp Arena,Vance Joy,"17,084 / 17,084","$1,870,471"
October 21,Greensboro,United States,Greensboro Coliseum,Vance Joy,"15,079 / 15,079","$1,662,171"
October 24,Atlanta,United States,Georgia Dome,"Vance Joy
Shawn Mendes","56,046 / 56,046","$6,034,846"
October 27,Miami,United States,American Airlines Arena,Vance Joy,"14,044 / 14,044","$1,527,919"
October 31,Tampa,United States,Raymond James Stadium,"Vance Joy
Shawn Mendes","56,987 / 56,987","$6,202,515"
November 7,Singapore,Singapore,Singapore Indoor Stadium,—,"17,726 / 17,726","$3,217,569"
November 8,Singapore,Singapore,Singapore Indoor Stadium,—,"17,726 / 17,726","$3,217,569"
November 10,Shanghai,China,Mercedes-Benz Arena,—,"37,758 / 37,758","$5,917,348"
November 11,Shanghai,China,Mercedes-Benz Arena,—,"37,758 / 37,758","$5,917,348"
November 12,Shanghai,China,Mercedes-Benz Arena,—,"37,758 / 37,758","$5,917,348"
November 28,Sydney,Australia,ANZ Stadium,Vance Joy,"75,980 / 75,980","$6,571,683"
December 5,Brisbane,Australia,Suncorp Stadium,Vance Joy,"46,881 / 46,881","$4,759,471"
December 7,Adelaide,Australia,Adelaide Entertainment Centre,Vance Joy,"20,090 / 20,090","$2,407,499"
December 8,Adelaide,Australia,Adelaide Entertainment Centre,Vance Joy,"20,090 / 20,090","$2,407,499"
December 10,Melbourne,Australia,AAMI Park,Vance Joy,"98,136 / 98,136","$10,421,553"
December 11,Melbourne,Australia,AAMI Park,Vance Joy,"98,136 / 98,136","$10,421,553"
December 12,Melbourne,Australia,AAMI Park,Vance Joy,"98,136 / 98,136","$10,421,553"
